Rented Bike Count,Temperature(°C),Hour,Dew point temperature(°C),Solar Radiation (MJ/m2),Visibility (10m),Humidity(%),Rainfall(mm),Snowfall (cm)
219,-4.2,8,-7.3,0.01,1436,79,0.0,0.0
328,-2.9,9,-7.9,0.3,1487,68,0.0,0.0
334,-0.4,10,-7.8,0.8,1309,57,0.0,0.0
388,1.9,11,-7.7,1.0,1406,49,0.0,0.0
479,4.3,12,-7.8,1.09,1666,41,0.0,0.0
606,6.0,13,-7.9,1.12,1780,36,0.0,0.0
611,7.3,14,-7.1,0.99,1955,35,0.0,0.0
589,7.6,15,-4.8,0.74,1953,41,0.0,0.0
618,6.4,16,-3.8,0.22,1945,48,0.0,0.0
572,6.0,17,-3.3,0.06,1891,51,0.0,0.0
489,5.5,18,-3.3,0.0,1697,53,0.0,0.0
385,5.0,19,-4.0,0.0,1666,52,0.0,0.0
359,4.6,20,-4.6,0.0,1585,51,0.0,0.0
377,4.1,21,-4.1,0.0,1448,55,0.0,0.0
354,3.5,22,-4.9,0.0,1446,54,0.0,0.0
366,4.0,23,-4.0,0.0,1352,56,0.0,0.0
342,4.0,0,-3.5,0.0,1296,58,0.0,0.0
227,3.9,1,-1.2,0.0,485,69,0.0,0.0
228,3.3,2,0.0,0.0,830,79,0.0,0.0
117,3.4,3,-1.3,0.0,1011,71,0.5,0.0
76,3.5,4,-0.8,0.0,1060,73,0.0,0.0
32,3.9,5,-0.1,0.0,914,75,0.0,0.0
13,3.4,6,1.2,0.0,278,86,1.0,0.0
22,3.1,7,1.7,0.0,129,91,0.0,0.0
85,3.2,8,2.0,0.0,244,92,0.0,0.0
152,3.5,9,2.1,0.02,231,91,2.5,0.0
200,4.4,10,2.7,0.24,257,89,0.0,0.0
273,5.1,11,3.1,0.25,321,87,0.0,0.0
333,5.8,12,3.4,0.43,349,85,0.0,0.0
495,6.8,13,3.7,0.6,390,81,0.0,0.0
563,7.6,14,3.6,0.69,422,76,0.0,0.0
621,8.0,15,3.4,0.53,433,73,0.0,0.0
598,7.6,16,3.8,0.2,399,77,0.0,0.0
545,6.7,17,3.8,0.05,358,82,0.0,0.0
443,6.0,18,3.4,0.0,327,84,0.0,0.0
422,5.7,19,3.3,0.0,309,85,0.0,0.0
397,5.2,20,3.2,0.0,253,87,0.0,0.0
385,4.7,21,2.7,0.0,247,87,0.0,0.0
350,4.3,22,2.6,0.0,201,89,0.0,0.0
303,3.9,23,2.4,0.0,194,90,0.0,0.0
285,4.2,0,2.3,0.0,216,88,0.0,0.0
186,4.3,1,2.3,0.0,221,87,0.0,0.0
112,4.4,2,2.4,0.0,207,87,0.0,0.0
65,3.6,3,1.3,0.0,206,85,0.0,0.0
41,2.8,4,1.1,0.0,130,89,0.0,0.0
82,2.0,5,-0.5,0.0,253,83,0.0,0.0
200,1.2,6,-2.5,0.0,371,76,0.1,0.0
498,0.2,7,-5.0,0.0,702,68,0.0,0.0
937,-0.8,8,-5.7,0.01,954,69,0.0,0.0
509,-1.5,9,-11.3,0.22,1888,47,0.0,0.0
311,-1.1,10,-13.0,0.64,2000,40,0.0,0.0
379,-0.5,11,-12.1,0.94,1799,41,0.0,0.0
393,-0.3,12,-12.9,1.11,1823,38,0.0,0.0
391,0.0,13,-15.5,1.17,1938,30,0.0,0.0
338,0.1,14,-16.7,1.09,2000,27,0.0,0.0
341,-0.1,15,-17.8,0.88,2000,25,0.0,0.0
375,-0.2,16,-18.8,0.55,2000,23,0.0,0.0
515,-1.3,17,-18.3,0.18,2000,26,0.0,0.0
807,-2.1,18,-17.7,0.0,2000,29,0.0,0.0
568,-2.9,19,-17.3,0.0,2000,32,0.0,0.0
398,-3.6,20,-15.8,0.0,2000,38,0.0,0.0
397,-4.6,21,-15.3,0.0,2000,43,0.0,0.0
353,-5.3,22,-15.3,0.0,2000,45,0.0,0.0
248,-5.8,23,-16.1,0.0,2000,44,0.0,0.0
216,-6.1,0,-16.9,0.0,2000,42,0.0,0.0
198,-6.5,1,-17.6,0.0,2000,41,0.0,0.0
124,-6.8,2,-17.8,0.0,2000,41,0.0,0.0
62,-6.9,3,-18.5,0.0,2000,39,0.0,0.0
42,-7.2,4,-20.4,0.0,2000,34,0.0,0.0
82,-7.4,5,-20.9,0.0,2000,33,0.0,0.0
172,-7.4,6,-20.6,0.0,2000,34,0.0,0.0
381,-7.5,7,-21.0,0.0,2000,33,0.0,0.0
812,-8.1,8,-20.5,0.01,2000,36,0.0,0.0
462,-7.6,9,-21.8,0.21,1974,31,0.0,0.0
269,-5.5,10,-22.0,0.64,1967,26,0.0,0.0
334,-3.9,11,-21.0,0.0,1959,25,0.0,0.0
321,-2.3,12,-19.7,0.0,1962,25,0.0,0.0
325,-1.6,13,-18.2,0.0,1955,27,0.0,0.0
334,-1.1,14,-17.3,0.0,2000,28,0.0,0.0
353,-0.7,15,-16.9,0.0,2000,28,0.0,0.0
435,-0.5,16,-16.0,0.0,2000,30,0.0,0.0
529,-1.6,17,-15.1,0.0,2000,35,0.0,0.0
789,-2.6,18,-14.4,0.0,2000,40,0.0,0.0
597,-3.2,19,-13.5,0.0,2000,45,0.0,0.0
418,-3.5,20,-13.4,0.0,2000,46,0.0,0.0
415,-3.7,21,-13.3,0.0,2000,47,0.0,0.0
393,-2.8,22,-12.0,0.0,2000,49,0.0,0.0
244,-2.5,23,-9.4,0.0,1210,59,0.0,0.0
145,-2.8,0,-6.2,0.0,331,77,0.1,0.1
144,-3.0,1,-6.1,0.0,293,79,0.0,0.3
117,-3.0,2,-6.1,0.0,1862,79,0.0,0.4
78,-3.2,3,-6.4,0.0,1808,78,0.2,0.4
58,-3.4,4,-7.2,0.0,1982,75,0.0,0.4
87,-3.6,5,-7.2,0.0,1934,76,0.0,0.4
142,-3.7,6,-7.3,0.0,1864,76,0.0,0.4
379,-4.2,7,-7.6,0.0,1741,77,0.0,0.3
802,-4.2,8,-7.4,0.01,1518,78,0.0,0.2
440,-3.3,9,-7.9,0.25,1324,70,0.0,0.2
307,-0.9,10,-6.8,0.63,1224,64,0.0,0.2
381,1.6,11,-6.0,0.93,1261,57,0.0,0.0
405,2.4,12,-6.4,1.08,1224,52,0.0,0.0
442,4.2,13,-6.1,1.1,1469,47,0.0,0.0
416,5.5,14,-9.1,0.96,1966,34,0.0,0.0
412,5.5,15,-10.3,0.72,1968,31,0.0,0.0
496,5.3,16,-8.2,0.36,2000,37,0.0,0.0
239,4.1,17,-2.9,0.1,1565,60,0.0,0.0
204,1.7,18,0.2,0.0,66,90,0.3,0.3
205,1.2,19,0.0,0.0,180,92,0.0,1.0
190,1.2,20,0.3,0.0,228,94,0.0,1.0
165,1.1,21,0.0,0.0,235,92,0.7,1.0
222,1.3,22,0.1,0.0,233,92,0.0,1.0
193,1.3,23,0.1,0.0,209,92,0.0,1.0
198,1.4,0,0.2,0.0,240,92,0.0,0.9
218,1.5,1,0.3,0.0,227,92,0.0,0.9
149,1.4,2,0.2,0.0,168,92,0.0,0.9
102,1.9,3,0.5,0.0,218,91,0.0,0.9
62,1.6,4,0.4,0.0,119,92,0.0,0.9
83,1.5,5,0.3,0.0,175,92,0.0,0.9
137,1.0,6,0.0,0.0,148,93,0.0,0.9
367,0.3,7,-0.7,0.0,173,93,0.0,0.9
754,-0.2,8,-0.7,0.01,173,96,0.0,0.8
415,0.1,9,-1.1,0.14,265,91,0.0,0.8
321,1.1,10,-1.4,0.41,311,83,0.0,0.7
333,2.3,11,-2.8,0.63,628,69,0.0,0.6
431,3.7,12,-2.2,0.98,833,65,0.0,0.3
394,4.1,13,-9.3,1.14,1767,37,0.0,0.0
390,4.4,14,-9.4,1.04,1975,36,0.0,0.0
430,4.0,15,-10.1,0.84,1962,35,0.0,0.0
471,3.2,16,-9.7,0.51,1817,38,0.0,0.0
552,2.1,17,-7.2,0.15,1434,50,0.0,0.0
795,0.7,18,-9.6,0.0,1558,46,0.0,0.0
507,-0.4,19,-10.3,0.0,1269,47,0.0,0.0
390,-1.4,20,-11.2,0.0,1620,47,0.0,0.0
402,-2.2,21,-12.2,0.0,1975,46,0.0,0.0
389,-2.7,22,-12.2,0.0,1844,48,0.0,0.0
259,-3.2,23,-12.1,0.0,1887,50,0.0,0.0
233,-3.5,0,-12.6,0.0,1893,49,0.0,0.0
230,-3.7,1,-12.6,0.0,1902,50,0.0,0.0
131,-4.3,2,-12.4,0.0,1918,53,0.0,0.0
99,-4.8,3,-13.1,0.0,1978,52,0.0,0.0
71,-5.3,4,-13.4,0.0,1936,53,0.0,0.0
84,-5.8,5,-13.1,0.0,1941,56,0.0,0.0
158,-6.0,6,-13.3,0.0,1853,56,0.0,0.0
387,-6.5,7,-13.6,0.0,1776,57,0.0,0.0
780,-7.0,8,-13.6,0.01,1559,59,0.0,0.0
395,-6.7,9,-15.4,0.23,1492,50,0.0,0.0
261,-5.3,10,-15.6,0.63,1516,44,0.0,0.0
310,-3.7,11,-15.6,0.93,1595,39,0.0,0.0
355,-2.0,12,-17.3,1.14,1728,30,0.0,0.0
354,-1.7,13,-17.8,1.22,1963,28,0.0,0.0
350,-1.3,14,-17.9,1.12,1906,27,0.0,0.0
362,-0.8,15,-17.9,0.87,1977,26,0.0,0.0
401,-1.1,16,-19.1,0.56,2000,24,0.0,0.0
500,-2.4,17,-17.6,0.18,2000,30,0.0,0.0
752,-3.1,18,-17.1,0.0,2000,33,0.0,0.0
477,-3.3,19,-16.6,0.0,2000,35,0.0,0.0
384,-3.3,20,-16.9,0.0,2000,34,0.0,0.0
336,-3.3,21,-16.6,0.0,2000,35,0.0,0.0
347,-3.4,22,-15.4,0.0,2000,39,0.0,0.0
275,-3.5,23,-14.3,0.0,2000,43,0.0,0.0
267,-3.5,0,-12.9,0.0,1967,48,0.0,0.0
296,-4.1,1,-13.2,0.0,2000,49,0.0,0.0
237,-4.7,2,-13.5,0.0,1983,50,0.0,0.0
169,-4.3,3,-13.9,0.0,1992,47,0.0,0.0
96,-4.3,4,-13.4,0.0,2000,49,0.0,0.0
56,-4.7,5,-13.8,0.0,1999,49,0.0,0.0
76,-5.1,6,-13.2,0.0,1975,53,0.0,0.0
127,-5.5,7,-12.9,0.0,1950,56,0.0,0.0
222,-5.4,8,-12.8,0.01,1940,56,0.0,0.0
291,-4.7,9,-14.0,0.23,1784,48,0.0,0.0
273,-2.2,10,-13.4,0.61,1646,42,0.0,0.0
351,0.0,11,-10.5,0.89,1500,45,0.0,0.0
427,2.4,12,-9.8,1.05,1809,40,0.0,0.0
431,3.9,13,-9.8,1.13,1702,36,0.0,0.0
486,4.7,14,-10.6,1.06,1948,32,0.0,0.0
569,5.2,15,-11.0,0.84,1963,30,0.0,0.0
546,4.4,16,-10.5,0.4,1963,33,0.0,0.0
481,3.5,17,-9.8,0.1,1963,37,0.0,0.0
384,2.5,18,-9.4,0.0,1974,41,0.0,0.0
275,1.5,19,-8.3,0.0,1878,48,0.0,0.0
298,0.8,20,-8.2,0.0,1848,51,0.0,0.0
321,-0.1,21,-8.0,0.0,1654,55,0.0,0.0
289,-0.5,22,-8.4,0.0,1655,55,0.0,0.0
265,-0.1,23,-8.3,0.0,1570,54,0.0,0.0
326,-0.2,0,-8.1,0.0,1629,55,0.0,0.0
280,-0.2,1,-8.4,0.0,1747,54,0.0,0.0
243,0.2,2,-8.5,0.0,1726,52,0.0,0.0
169,0.3,3,-8.1,0.0,1748,53,0.0,0.0
71,0.4,4,-8.3,0.0,1816,52,0.0,0.0
13,0.3,5,-3.7,0.0,178,74,0.0,0.7
9,-0.5,6,-1.9,0.0,91,90,2.5,2.7
20,-0.4,7,-1.5,0.0,121,92,0.0,4.0
35,-0.2,8,-1.6,0.0,378,90,0.0,4.1
31,0.2,9,-1.2,0.0,305,90,1.6,4.3
19,0.5,10,-0.8,0.0,143,91,0.0,4.3
58,0.9,11,-0.2,0.03,137,92,0.0,3.9
119,2.3,12,0.5,0.28,245,88,0.0,3.1
182,3.3,13,1.3,0.54,230,87,0.0,2.1
235,4.2,14,1.8,0.65,325,85,0.0,1.4
180,6.7,15,0.1,0.35,715,63,0.0,1.0
214,5.4,16,0.5,0.2,622,71,0.0,0.5
226,3.6,17,-2.3,0.03,1061,65,0.0,0.4
210,2.0,18,-4.7,0.0,2000,61,0.0,0.0
181,1.6,19,-6.9,0.0,2000,53,0.0,0.0
165,0.6,20,-6.9,0.0,1954,57,0.0,0.0
167,0.0,21,-7.0,0.0,1862,59,0.0,0.0
152,-1.0,22,-8.6,0.0,2000,56,0.0,0.0
148,-1.4,23,-12.3,0.0,2000,43,0.0,0.0
125,-2.5,0,-14.5,0.0,2000,39,0.0,0.0
111,-3.4,1,-16.3,0.0,2000,36,0.0,0.0
67,-4.2,2,-17.4,0.0,2000,35,0.0,0.0
45,-4.7,3,-16.8,0.0,2000,38,0.0,0.0
44,-5.2,4,-18.3,0.0,2000,35,0.0,0.0
86,-5.6,5,-17.6,0.0,1974,38,0.0,0.0
136,-5.9,6,-17.6,0.0,1979,39,0.0,0.0
325,-6.0,7,-17.7,0.0,1996,39,0.0,0.0
653,-6.0,8,-18.0,0.01,1994,38,0.0,0.0
326,-5.9,9,-18.6,0.1,1941,36,0.0,0.0
212,-5.3,10,-19.4,0.62,2000,32,0.0,0.0
226,-4.7,11,-17.5,1.0,2000,36,0.0,0.0
247,-5.2,12,-19.0,1.26,1973,33,0.0,0.0
241,-5.4,13,-19.5,1.24,1986,32,0.0,0.0
253,-5.4,14,-19.9,1.13,1945,31,0.0,0.0
269,-5.5,15,-19.2,0.92,2000,33,0.0,0.0
277,-6.0,16,-17.4,0.55,2000,40,0.0,0.0
361,-7.1,17,-17.3,0.18,2000,44,0.0,0.0
557,-7.9,18,-18.3,0.0,2000,43,0.0,0.0
371,-8.6,19,-18.4,0.0,2000,45,0.0,0.0
254,-9.3,20,-18.0,0.0,2000,49,0.0,0.0
266,-9.7,21,-17.9,0.0,2000,51,0.0,0.0
222,-10.2,22,-18.6,0.0,2000,50,0.0,0.0
174,-10.7,23,-18.4,0.0,2000,53,0.0,0.0
133,-11.0,0,-19.1,0.0,2000,51,0.0,0.0
127,-11.2,1,-19.3,0.0,2000,51,0.0,0.0
95,-11.5,2,-19.8,0.0,2000,50,0.0,0.0
54,-11.6,3,-19.9,0.0,1995,50,0.0,0.0
46,-11.6,4,-20.6,0.0,1982,47,0.0,0.0
65,-11.6,5,-21.1,0.0,1951,45,0.0,0.0
104,-11.8,6,-20.8,0.0,1973,47,0.0,0.0
280,-12.1,7,-20.4,0.0,1929,50,0.0,0.0
580,-12.3,8,-20.1,0.0,1914,52,0.0,0.0
275,-11.8,9,-21.1,0.1,1956,46,0.0,0.0
184,-10.5,10,-20.1,0.6,1855,45,0.0,0.0
201,-9.4,11,-19.9,0.93,1815,42,0.0,0.0
228,-8.3,12,-21.0,1.14,1967,35,0.0,0.0
225,-6.9,13,-19.1,1.22,1955,37,0.0,0.0
258,-5.4,14,-19.5,1.12,1930,32,0.0,0.0
250,-5.8,15,-20.6,0.92,2000,30,0.0,0.0
248,-6.0,16,-21.2,0.58,1983,29,0.0,0.0
305,-7.0,17,-20.9,0.19,2000,32,0.0,0.0
529,-7.7,18,-20.2,0.0,2000,36,0.0,0.0
350,-8.2,19,-18.5,0.0,2000,43,0.0,0.0
260,-8.4,20,-19.0,0.0,2000,42,0.0,0.0
270,-8.8,21,-19.1,0.0,1999,43,0.0,0.0
256,-9.0,22,-18.7,0.0,1999,45,0.0,0.0
173,-9.3,23,-18.5,0.0,2000,47,0.0,0.0
206,-3.2,0,-14.9,0.0,1358,40,0.0,0.0
230,-3.3,1,-14.7,0.0,2000,41,0.0,0.0
178,-3.7,2,-14.7,0.0,2000,42,0.0,0.0
119,-4.0,3,-14.4,0.0,2000,44,0.0,0.0
62,-4.2,4,-12.3,0.0,1994,53,0.0,0.0
61,-4.4,5,-12.3,0.0,1786,54,0.0,0.0
65,-4.5,6,-13.1,0.0,2000,51,0.0,0.0
81,-4.7,7,-12.1,0.0,2000,56,0.0,0.0
89,-5.0,8,-12.6,0.0,2000,55,0.0,0.0
121,-4.3,9,-16.2,0.15,1973,39,0.0,0.0
139,-1.6,10,-16.1,0.53,1766,32,0.0,0.0
169,0.1,11,-16.7,0.84,1874,27,0.0,0.0
225,1.5,12,-19.0,1.03,1992,20,0.0,0.0
248,2.4,13,-17.2,1.1,1921,22,0.0,0.0
298,3.7,14,-15.0,1.01,1906,24,0.0,0.0
344,3.0,15,-14.2,0.78,1715,27,0.0,0.0
310,3.0,16,-13.7,0.51,1864,28,0.0,0.0
271,1.8,17,-12.8,0.18,1913,33,0.0,0.0
218,0.8,18,-13.3,0.01,1887,34,0.0,0.0
125,-0.1,19,-12.4,0.0,1911,39,0.0,0.0
206,-0.3,20,-12.2,0.0,1936,40,0.0,0.0
203,-0.9,21,-11.6,0.0,1871,44,0.0,0.0
168,-1.3,22,-10.9,0.0,1927,48,0.0,0.0
154,-1.6,23,-10.4,0.0,1882,51,0.0,0.0
122,-5.2,0,-12.6,0.0,1996,56,0.0,1.6
149,-5.4,1,-13.2,0.0,1996,54,0.0,1.6
103,-5.5,2,-13.5,0.0,1980,53,0.0,1.6
81,-6.2,3,-13.3,0.0,1874,57,0.0,1.6
37,-7.1,4,-14.4,0.0,1841,56,0.0,1.6
51,-7.8,5,-13.2,0.0,1737,65,0.0,1.6
95,-8.1,6,-14.7,0.0,1915,59,0.0,1.6
244,-8.7,7,-14.2,0.0,1972,64,0.0,1.6
459,-8.6,8,-15.1,0.01,1948,59,0.0,1.6
259,-7.9,9,-16.5,0.23,1805,50,0.0,1.6
168,-5.0,10,-16.2,0.64,1799,41,0.0,1.5
194,-2.6,11,-16.6,0.95,1830,33,0.0,1.4
240,-1.1,12,-16.1,1.2,1869,31,0.0,1.3
233,0.3,13,-16.1,1.3,1988,28,0.0,1.0
256,0.8,14,-18.0,1.29,2000,23,0.0,0.5
293,0.7,15,-17.1,1.12,1987,25,0.0,0.0
268,1.1,16,-16.3,0.82,1957,26,0.0,0.0
341,0.3,17,-17.0,0.45,1977,26,0.0,0.0
542,-1.0,18,-17.2,0.08,2000,28,0.0,0.0
344,-1.8,19,-16.3,0.0,2000,32,0.0,0.0
263,-2.4,20,-15.4,0.0,2000,36,0.0,0.0
257,-3.2,21,-12.9,0.0,1917,47,0.0,0.0
235,-3.9,22,-12.3,0.0,1871,52,0.0,0.0
143,-4.5,23,-12.1,0.0,1908,55,0.0,0.0
71,2.0,0,1.4,0.0,1894,96,2.0,0.0
147,2.1,1,1.6,0.0,859,97,0.0,0.0
180,2.0,2,1.5,0.0,580,97,0.0,0.0
92,1.6,3,1.1,0.0,469,97,0.1,0.0
28,1.6,4,1.1,0.0,636,97,0.0,0.0
11,2.2,5,1.7,0.0,362,97,0.0,0.0
33,3.0,6,2.4,0.0,303,96,0.4,0.0
61,2.6,7,0.9,0.0,320,89,0.0,0.0
148,1.5,8,-1.5,0.04,1246,80,0.0,0.0
160,0.1,9,-3.2,0.09,615,78,0.0,0.0
191,0.1,10,-8.3,1.12,1022,53,0.0,0.0
239,0.8,11,-7.9,2.2,1035,52,0.0,0.0
311,0.5,12,-9.8,2.49,1172,46,0.0,0.0
358,1.4,13,-11.7,2.95,1681,37,0.0,0.0
375,1.2,14,-12.2,2.86,1430,36,0.0,0.0
458,1.6,15,-12.2,2.54,1567,35,0.0,0.0
460,1.4,16,-13.1,1.98,1480,33,0.0,0.0
423,0.4,17,-12.6,1.23,1366,37,0.0,0.0
317,-0.8,18,-12.7,0.43,1429,40,0.0,0.0
231,-1.7,19,-12.1,0.01,1375,45,0.0,0.0
246,-2.2,20,-11.4,0.0,1325,49,0.0,0.0
212,-3.0,21,-11.9,0.0,1301,50,0.0,0.0
190,-3.6,22,-12.0,0.0,1277,52,0.0,0.0
190,-4.0,23,-12.4,0.0,1272,52,0.0,0.0
579,12.1,0,6.7,0.0,1050,70,0.0,0.0
453,11.7,1,7.2,0.0,979,74,0.0,0.0
322,11.7,2,6.8,0.0,915,72,0.0,0.0
221,11.9,3,6.7,0.0,853,71,0.0,0.0
147,12.1,4,6.5,0.0,827,69,0.0,0.0
96,12.3,5,5.8,0.0,1085,65,0.0,0.0
110,12.4,6,5.0,0.0,1131,61,0.0,0.0
169,12.5,7,5.4,0.0,1003,62,0.0,0.0
342,12.9,8,6.2,0.06,778,64,0.0,0.0
485,13.5,9,7.2,0.16,934,66,0.0,0.0
566,14.7,10,7.2,0.64,945,61,0.0,0.0
737,16.7,11,7.6,1.37,1182,55,0.0,0.0
926,18.0,12,8.2,1.53,1350,53,0.0,0.0
1156,17.9,13,10.0,0.86,1248,60,0.0,0.0
1201,17.5,14,11.2,0.42,832,67,0.0,0.0
1349,18.2,15,11.0,0.72,687,63,0.0,0.0
1409,18.2,16,12.4,0.87,625,69,0.0,0.0
1362,18.0,17,12.8,0.47,559,72,0.0,0.0
1296,17.7,18,13.2,0.12,519,75,0.0,0.0
1066,17.4,19,13.7,0.03,614,79,0.0,0.0
984,17.1,20,13.6,0.0,480,80,0.0,0.0
983,16.9,21,13.6,0.0,472,81,0.0,0.0
841,16.7,22,13.7,0.0,416,83,0.0,0.0
588,16.3,23,13.2,0.0,480,82,0.0,0.0
782,18.3,0,14.3,0.0,349,78,0.0,0.0
705,18.3,1,15.3,0.0,451,83,0.0,0.0
534,18.2,2,15.6,0.0,355,85,0.0,0.0
343,18.1,3,15.5,0.0,284,85,0.0,0.0
187,18.0,4,15.4,0.0,275,85,0.0,0.0
166,18.0,5,15.4,0.0,346,85,0.0,0.0
306,17.8,6,15.2,0.0,265,85,0.0,0.0
614,18.0,7,14.8,0.11,264,82,0.0,0.0
1067,18.8,8,14.4,0.36,301,76,0.0,0.0
1024,20.7,9,14.3,1.3,464,67,0.0,0.0
1002,22.2,10,14.3,1.72,531,61,0.0,0.0
1117,22.7,11,15.2,1.36,605,63,0.0,0.0
1315,22.1,12,15.6,0.81,462,67,0.0,0.0
1493,23.0,13,15.5,1.92,494,63,0.0,0.0
1536,23.0,14,15.8,1.59,520,64,0.0,0.0
1639,23.1,15,15.1,1.5,556,61,0.0,0.0
1759,22.6,16,15.1,0.88,551,63,0.0,0.0
1898,22.0,17,15.1,0.47,589,65,0.0,0.0
2082,21.6,18,15.2,0.24,584,67,0.0,0.0
1696,21.2,19,15.0,0.16,610,68,0.0,0.0
1656,20.6,20,15.3,0.0,587,72,0.0,0.0
1644,20.2,21,15.4,0.0,554,74,0.0,0.0
1400,19.9,22,15.3,0.0,516,75,0.0,0.0
855,19.8,23,14.8,0.0,442,73,0.0,0.0
963,20.1,0,12.8,0.0,1698,63,0.0,0.0
776,19.5,1,12.7,0.0,1662,65,0.0,0.0
554,19.0,2,13.8,0.0,1258,72,0.0,0.0
366,18.6,3,13.4,0.0,1340,72,0.0,0.0
265,18.1,4,13.7,0.0,561,76,0.0,0.0
306,17.8,5,13.3,0.0,1210,75,0.0,0.0
672,17.5,6,13.2,0.05,1161,76,0.0,0.0
1421,18.1,7,11.1,0.47,923,64,0.0,0.0
2149,20.6,8,11.2,1.21,1200,55,0.0,0.0
1219,23.1,9,12.6,1.88,1012,52,0.0,0.0
862,25.3,10,12.5,2.45,1371,45,0.0,0.0
1036,26.8,11,11.2,2.99,1879,38,0.0,0.0
1076,28.2,12,10.8,3.26,1867,34,0.0,0.0
1093,29.4,13,11.4,3.3,1535,33,0.0,0.0
1071,29.6,14,10.6,3.25,1988,31,0.0,0.0
1235,29.9,15,13.2,2.94,1866,36,0.0,0.0
1488,29.9,16,12.3,2.46,1912,34,0.0,0.0
2123,29.2,17,12.1,1.87,1967,35,0.0,0.0
3088,28.5,18,11.9,1.21,1981,36,0.0,0.0
2505,26.8,19,10.0,0.54,2000,35,0.0,0.0
2163,25.0,20,10.0,0.06,2000,39,0.0,0.0
2066,23.5,21,10.5,0.0,2000,44,0.0,0.0
1991,22.7,22,9.8,0.0,2000,44,0.0,0.0
1440,21.8,23,10.6,0.0,1965,49,0.0,0.0
865,22.6,0,20.5,0.0,1259,88,0.0,0.0
740,22.7,1,20.4,0.0,1072,87,0.0,0.0
586,22.7,2,20.4,0.0,1187,87,0.0,0.0
368,22.7,3,20.2,0.0,1455,86,0.0,0.0
211,22.7,4,20.0,0.0,1547,85,0.0,0.0
54,22.6,5,20.1,0.0,1076,86,0.1,0.0
60,22.3,6,21.1,0.01,1262,93,0.4,0.0
25,22.1,7,20.1,0.08,1617,89,0.5,0.0
20,22.1,8,20.9,0.14,805,93,1.0,0.0
9,22.1,9,21.0,0.22,624,94,1.5,0.0
13,21.6,10,21.0,0.13,266,97,12.0,0.0
11,21.2,11,20.6,0.15,105,97,18.5,0.0
9,21.1,12,20.5,0.17,653,97,7.5,0.0
30,21.2,13,20.6,0.2,760,97,3.5,0.0
14,21.5,14,20.9,0.29,1522,97,1.0,0.0
51,21.8,15,21.2,0.14,324,97,5.5,0.0
41,22.2,16,21.6,0.25,1745,97,1.0,0.0
25,22.4,17,21.7,0.21,1661,96,1.5,0.0
17,22.2,18,21.5,0.09,673,96,3.5,0.0
18,21.9,19,21.2,0.01,509,96,5.5,0.0
16,21.9,20,21.3,0.0,534,97,6.0,0.0
17,21.8,21,21.2,0.0,692,97,3.5,0.0
16,21.7,22,21.1,0.0,540,97,3.5,0.0
15,21.5,23,20.9,0.0,523,97,5.0,0.0
875,30.5,0,23.9,0.0,2000,68,0.0,0.0
724,29.9,1,23.8,0.0,2000,70,0.0,0.0
501,29.5,2,23.2,0.0,2000,69,0.0,0.0
362,29.1,3,21.5,0.0,1997,64,0.0,0.0
250,28.5,4,22.2,0.0,2000,69,0.0,0.0
315,28.3,5,21.8,0.0,2000,68,0.0,0.0
